entidad,departamento_entidad,orden,nit_entidad,cantidad,suma_valor_contrato
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL PROVIDENCIA  GACHALA,Cundinamarca,TERRITORIAL,900048995,4,1231618.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL SAN LORENZO  FOMEQUE,Cundinamarca,TERRITORIAL,900036343,85,137061175.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL SANTA CECILIA  PARATEBUENO,Cundinamarca,TERRITORIAL,822006816,105,439322025.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL SANTA HELENA  PANDI,Cundinamarca,TERRITORIAL,808003801,1,
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL TÉCNICA LA VIOLETA  SOPÓ,Cundinamarca,TERRITORIAL,832004311,96,226089113.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SALESIANO MIGUEL UNIA  AGUA DE DIOS,Cundinamarca,TERRITORIAL,808001979,2,8201000.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN ANTONIO DEL TEQUENDAMA,Cundinamarca,TERRITORIAL,899999439,52,275680323.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN ANTONIO  TAUSA,Cundinamarca,TERRITORIAL,900023006,8,21426710.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN BENITO  SIBATÉ,Cundinamarca,NACIONAL,832010017,57,150864642.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN CARLOS,Cundinamarca,TERRITORIAL,832011322,38,174311044.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN GABRIEL,Cundinamarca,TERRITORIAL,800237292,25,241639739.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN GABRIEL  CAJICÁ,Cundinamarca,TERRITORIAL,899999473,310,2153958795.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN JUAN DE RIOSECO,Cundinamarca,NACIONAL,899999416,44,225733621.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN MIGUEL  SIBATÉ,Cundinamarca,TERRITORIAL,832009955,188,656915270.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN NICOLAS  SASAIMA,Cundinamarca,TERRITORIAL,899999380,44,166111121.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN PEDRO  CAPARRAPÍ,Cundinamarca,TERRITORIAL,900291840,25,114618499.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN RAFAEL LLANO MATEO  YACOPÍ,Cundinamarca,TERRITORIAL,900027724,47,229656809.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SANTA GEMMA DE GALGANI  CAPARRAPÍ,Cundinamarca,TERRITORIAL,800177754,53,305119442.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SANTA INÉS  PACHO,Cundinamarca,TERRITORIAL,832002308,44,138787824.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SANTA INÉS  SILVANIA,Cundinamarca,TERRITORIAL,890680045,98,437365504.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SANTA MARÍA  VILLA DE SAN DIEGO DE UBATE,Cundinamarca,TERRITORIAL,860022663,156,869198001.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SERREZUELA  MADRID,Cundinamarca,TERRITORIAL,832001679,665,3294221802.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TALAUTA  EL PEÑON,Cundinamarca,TERRITORIAL,900033491,72,249704947.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICA AGROPECUARIA FERRALARADA  CHOACHÍ,Cundinamarca,TERRITORIAL,900014671,13,68687540.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICA AGROPECUARIA MARTIN ROMERO  GAMA,Cundinamarca,TERRITORIAL,800205646,93,426610726.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO AGROINDUSTRIAL BATEAS  TIBACUY,Cundinamarca,TERRITORIAL,808003471,3,11520974.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO AGROPECUARIA CALANDAIMA  TIBACUY,Cundinamarca,TERRITORIAL,890680417,78,142906693.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO AGROPECUARIA SAN RAMON  FUNZA,Cundinamarca,TERRITORIAL,832005322,52,142582912.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO AGROPECUARIO JAIME DE NARVAEZ  BELTRÁN,Cundinamarca,TERRITORIAL,808001253,46,130500984.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO AGROPECUARIO  YACOPÍ,Cundinamarca,TERRITORIAL,832000411-6,16,40904341.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO COMERCIAL MARIANO OSPINA RODRÍGUEZ  GUASCA,Cundinamarca,TERRITORIAL,860026409,63,313518358.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICO COMERCIAL PUENTE QUETAME  QUETAME,Cundinamarca,TERRITORIAL,832004789,87,447229421.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TECNOLÓGICO DE MADRID,Cundinamarca,TERRITORIAL,832001690,153,2129444052.0
CUNDINAMARCA  INSTITUCION EDUCATIVA DEPARTAMENTAL TIBAITATA,Cundinamarca,TERRITORIAL,901470127,22,137636317.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TISQUESUSA  SUSA,Cundinamarca,TERRITORIAL,832004009,23,163297516.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL URBANA DE CAQUEZA,Cundinamarca,TERRITORIAL,800012286,48,433014404.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL VENECIA,Cundinamarca,TERRITORIAL,890680087,54,246468905.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL VÍCTOR MANUEL LONDOÑO  VIANÍ,Cundinamarca,TERRITORIAL,860530771,77,411246923.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL  ZIPACÓN,Cundinamarca,TERRITORIAL,800102741,148,458182984.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DIOSA CHÍA  CHÍA,Cundinamarca,TERRITORIAL,832004414,40,264374550.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DISTRITAL FIDEL LEON TRIANA  VERGARA,Cundinamarca,TERRITORIAL,899999363,10,31284942.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DIVERSIFICADO  CHÍA,Cundinamarca,TERRITORIAL,832003903,86,862945436.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DPTAL PBRO CARLOS GARAVITO A DE GACHANCIPÁ,Cundinamarca,TERRITORIAL,800054678,403,98018909.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA EDUARDO SANTOS  SOACHA,Cundinamarca,TERRITORIAL,832002619,144,1333254185.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA EL BOSQUE  SOACHA,Cundinamarca,TERRITORIAL,832002911,295,1757017378.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA EUGENIO DÍAZ CASTRO  SOACHA,Cundinamarca,TERRITORIAL,860509887,220,1087025741.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA FAGUA  CHÍA,Cundinamarca,TERRITORIAL,832005922,137,759743751.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA FUNDADORES RAMÓN BUENO Y JOSÉ TRIANA  GIRARDOT,Cundinamarca,TERRITORIAL,808000288,1,
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA GABRIEL GARCÍA MARQUEZ  SOACHA,Cundinamarca,TERRITORIAL,832002644,184,971648613.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA GENERAL SANTANDER  SOACHA,Cundinamarca,TERRITORIAL,832008512,455,2280455780.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA INSTITUTO TÉCNICO DE ORIENTE  UBAQUE,Cundinamarca,TERRITORIAL,832008942,100,272609935.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA INTEGRADA CUNE  VILLETA,Cundinamarca,TERRITORIAL,900017384,31,87194357.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA INTEGRADO DE SOACHA,Cundinamarca,TERRITORIAL,899999334,288,1551356469.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA JOHN FITZGERALD KENNEDY  FACATATIVA,Cundinamarca,TERRITORIAL,832002064,227,776165052.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA JUAN JOSÉ NEIRA  MACHETA,Cundinamarca,TERRITORIAL,832003451,96,273729502.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA JUAN LUIS LONDOÑO DE LA CUESTA  MOSQUERA,Cundinamarca,TERRITORIAL,900132830,201,1593141814.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA JULIO CÉSAR TURBAY AYALA  SOACHA,Cundinamarca,TERRITORIAL,832002034,384,1592623310.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LA ARMONÍA  MOSQUERA,Cundinamarca,TERRITORIAL,900900742,103,1060377163.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LA DESPENSA  SOACHA,Cundinamarca,TERRITORIAL,832002383,321,1954326907.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LA MERCED  MOSQUERA,Cundinamarca,TERRITORIAL,899999105,135,1476707901.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LAS VILLAS  SOACHA,Cundinamarca,TERRITORIAL,832002443,227,1940941716.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LAURA VICUÑA  CHÍA,Cundinamarca,TERRITORIAL,900576264,28,168794299.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LEÓN XIII  SOACHA,Cundinamarca,TERRITORIAL,832002393,327,2630534670.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LUIS CARLOS GALÁN  SOACHA,Cundinamarca,TERRITORIAL,832007685,148,1157617407.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LUIS HENRIQUEZ  SOACHA,Cundinamarca,TERRITORIAL,901272484,51,246406794.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MANUELA BELTRÁN  SOACHA,Cundinamarca,TERRITORIAL,832002888,222,1458645706.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MAYOR DE MOSQUERA,Cundinamarca,TERRITORIAL,832005423,212,1387911845.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL CAMPESTRE NUEVO HORIZONTE  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,808000852-1,164,1065662951.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL CARLOS LOZANO Y LOZANO  FUSAGASUGA,Cundinamarca,TERRITORIAL,890680054,169,1903738445.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL CIUDAD EBEN EZER  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,900005732,126,766922333.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL CUNDINAMARCA  ZIPAQUIRA,Cundinamarca,TERRITORIAL,860030389,194,1383253521.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL FRANCISCO JOSÉ DE CALDAS  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,808000563,100,970618239.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL GUAVIO BAJO  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,808001257,134,987917800.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL GUILLERMO QUEVEDO ZORNOZA,Cundinamarca,TERRITORIAL,832002561,177,1000977082.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL INSTITUTO TÉCNICO INDUSTRIAL  FACATATIVÁ,Cundinamarca,TERRITORIAL,800099708-3,168,542831856.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL INSTITUTO TÉCNICO INDUSTRIAL FUSAGASUGÁ,Cundinamarca,TERRITORIAL,890680335-8,163,13687662423.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL INSTITUTO TÉCNICO LUIS ORJUELA  ZIPAQUIRÁ,Cundinamarca,TERRITORIAL,832003550,127,620585380.0
CUNDINAMARCA  INSTITUCION EDUCATIVA MUNICIPAL INTEGRAL DEL SUMAPAZ  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,900481241,54,212426502.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL JOSE CELESTINO MUTIS  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,808001150,174,1288997348.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL JUAN XXIII  FACATATIVÁ,Cundinamarca,TERRITORIAL,832002400,106,659527575.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL LA ARBOLEDA  FACATATIVÁ,Cundinamarca,TERRITORIAL,832002082,263,1147111220.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL LA GRANJA  ZIPAQUIRÁ,Cundinamarca,TERRITORIAL,832009102,178,970687291.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL LICEO INTEGRADO  ZIPAQUIRÁ,Cundinamarca,TERRITORIAL,832004884,236,1540332634.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL LUIS CARLOS GALÁN SARMIENTO  FUSAGASUGÁ,Cundinamarca,TERRITORIAL,808000852-2,167,838378896.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL MANABLANCA  FACATATIVÁ,Huila,TERRITORIAL,832005137,151,633349045.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL MANUEL HUMBERTO CARDENAS VELEZ,Cundinamarca,TERRITORIAL,808000766,201,1528162588.0
CUNDINAMARCA  INSTITUCION EDUCATIVA MUNICIPAL RURAL LUIS EDUARDO GUTIERREZ MENDEZ  ZIPAQUIRA,Cundinamarca,TERRITORIAL,832005393,151,653813268.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL RURAL SAN JORGE  ZIPAQUIRÁ,Cundinamarca,TERRITORIAL,832010885,140,424012223.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL SAN JUAN BAUTISTA DE LA SALLE  ZIPAQUIRA,Cundinamarca,TERRITORIAL,832004871,214,2637957750.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL SANTIAGO PÉREZ  ZIPAQUIRA,Cundinamarca,TERRITORIAL,832003189,273,1628708542.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL SILVERIA ESPINOSA DE RENDÓN  FACATATIVÁ,Cundinamarca,TERRITORIAL,832006418,11,69057398.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA AGROPECUARIA POLICARPA SALAVARRIETA  FACATATIVÁ,Cundinamarca,TERRITORIAL,832004007,35,288962055.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA COMERCIAL SANTA RITA  FACATATIVÁ,Cundinamarca,TERRITORIAL,800058047,344,1382922105.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA DE ACCIÓN COMUNAL,Cundinamarca,TERRITORIAL,808000332,131,1302669149.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA TEODORO AYA VILLAVECES,Cundinamarca,TERRITORIAL,890680048,185,1661716617.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICO EMPRESARIAL CARTAGENA  FACATATIVÁ,Cundinamarca,TERRITORIAL,832003224,63,470193989.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICO INDUSTRIAL  ZIPAQUIRA,Cundinamarca,TERRITORIAL,800170903,201,1794382681.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR NUESTRA SEÑORA DE LA ENCARNACIÓN  PASCA,Cundinamarca,TERRITORIAL,808000833,186,185112112.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA NOVILLERO  CAPARRAPÍ,Cundinamarca,TERRITORIAL,900012490,36,154598645.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA NUEVO COMPARTIR  SOACHA,Cundinamarca,TERRITORIAL,832000911,390,2118826672.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA OFICIAL LA BALSA  CHÍA,Cundinamarca,TERRITORIAL,832004419,23,128596300.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA PAZ Y ESPERANZA  SOACHA,Cundinamarca,TERRITORIAL,901274034,68,304194489.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RAFAEL POMBO  SOPÓ,Cundinamarca,TERRITORIAL,832004299,239,873497493.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RICAURTE DE SOACHA  SOACHA,Cundinamarca,TERRITORIAL,832002706-9,214,702257869.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA ROBERTO VELANDIA  MOSQUERA,Cundinamarca,TERRITORIAL,832007049,272,2939759680.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL ADOLFO LEÓN GÓMEZ  PASCA,Cundinamarca,NACIONAL,890680193,37,134236949.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL AGUA BLANCA  LA PEÑA,Cundinamarca,NACIONAL,900017129,54,229643950.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL AGUABONITA  SILVANIA,Cundinamarca,TERRITORIAL,808003783,65,116842156.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL ANATOLI  LA MESA,Cundinamarca,TERRITORIAL,900254337,97,277231024.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL BOJACA  CHÍA,Cundinamarca,TERRITORIAL,832005913,128,441976144.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL CAMANCHA  SAN CAYETANO,Cundinamarca,TERRITORIAL,900027285,38,49097827.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL CHIMBE  ALBÁN,Cundinamarca,TERRITORIAL,900015715,5,29727000.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL CUIBUCO  SAN CAYETANO,Cundinamarca,TERRITORIAL,900051707,28,20377187.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL DE SUBÍA  SILVANIA,Cundinamarca,TERRITORIAL,808003762,62,182877049.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL EL HATO  CARMEN DE CARUPA,Cundinamarca,TERRITORIAL,900025663,28,65061778.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL ERNESTO APARICIO JARAMILLO  LA MESA,Cundinamarca,TERRITORIAL,808002143,78,379609585.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL GAZATAVENA  MEDINA,Cundinamarca,TERRITORIAL,822007275,55,186427480.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL GIRÓN DE BLANCOS  CÁQUEZA,Cundinamarca,TERRITORIAL,832009544,13,20581940.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL INSTITUTO DE PROMOCIÓN SOCIAL  UBALÁ,Cundinamarca,TERRITORIAL,832001324,6,20801950.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL INTEGRADA VALLE DE TENJO,Cundinamarca,TERRITORIAL,900018057,125,540384198.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL LA ESPERANZA  VERGARA,Cundinamarca,NACIONAL,900002620,10,
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL MÁMBITA  UBALÁ,Cundinamarca,TERRITORIAL,832005763,8,41071787.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL MARCO FIDEL SUAREZ  UBALÁ,Cundinamarca,TERRITORIAL,832011404,5,15853700.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL MERCADILLO PRIMERO  CÁQUEZA,Cundinamarca,TERRITORIAL,832006685,4,
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL MIÑA Y TICHA  GUACHETÁ,Cundinamarca,TERRITORIAL,900084754,22,58204156.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL NACIONALIZADO TUDELA  PAIME,Cundinamarca,TERRITORIAL,832005210,45,166432405.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL PATIO BONITO  ANAPOIMA,Cundinamarca,TERRITORIAL,900030745,2,14580550.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL RINCÓN GRANDE  CÁQUEZA,Cundinamarca,TERRITORIAL,832006683,5,6994700.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL RIONEGRO SUR  CÁQUEZA,Cundinamarca,TERRITORIAL,832006682,10,26173044.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN ANTONIO  ANAPOIMA,Cundinamarca,TERRITORIAL,900030748,1,3696000.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN ANTONIO DE AGUILERA  TOPAIPÍ,Cundinamarca,TERRITORIAL,800052584,35,30410988.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN BERNARDO  SASAIMA,Cundinamarca,TERRITORIAL,832004039,33,88842270.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN JAVIER  LA MESA,Cundinamarca,TERRITORIAL,808003773,68,153033217.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN JOSÉ  CARMEN DE CARUPA,Cundinamarca,TERRITORIAL,900025662,48,106213959.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN NICOLAS  SAN JUAN DE RIOSECO,Cundinamarca,TERRITORIAL,832002706-9,34,94085672.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN PEDRO DE GUAJARAY  MEDINA,Cundinamarca,TERRITORIAL,900047579,80,204953215.0
CUNDINAMARCA  INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL SANTA ROSA DE UBALA,Cundinamarca,TERRITORIAL,900046086,5,19633700.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SIMÓN BOLÍVAR  LENGUAZAQUE,Cundinamarca,TERRITORIAL,900050054,1,4178394.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL TÉCNICO AGROPECUARIA JAIME DE NARVAEZ PAQUILO  BELTRAN,Cundinamarca,TERRITORIAL,808003795,40,106374655.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA SABIO MUTIS  LA MESA,Cundinamarca,TERRITORIAL,808003430,103,422658463.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA SAN JOSÉ MARÍA ESCRIVA DE BALAGUER  CHÍA,Cundinamarca,TERRITORIAL,832004421,11,107858900.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA SAN MATEO  SOACHA,Cundinamarca,TERRITORIAL,832004316,370,1664639078.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA SANTA ANA  SOACHA,Cundinamarca,TERRITORIAL,832002830,330,1628688087.0
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA SANTA MARIA DEL RIO  CHÍA,Cundinamarca,TERRITORIAL,832006088,13,93309101.0
CUNDINAMARCA  INSTITUCION EDUCATIVA SOACHA AVANZA LA UNIDAD  SOACHA,Cundinamarca,TERRITORIAL,901451420,23,121328351.0
CUNDINAMARCA  INSTITUCION EDUCATIVA TECNICA FRANCISCO MANZANERA  GIRARDOT,Cundinamarca,TERRITORIAL,890680240,1,
CUNDINAMARCA  INSTITUTO DE CULTURA TURISMO RECREACIÓN Y DEPORTES ICTRD  APULO,Cundinamarca,TERRITORIAL,900348192,445,3034939988.0
CUNDINAMARCA  INSTITUTO DE DEPORTES Y RECREACIÓN DE FACATATIVÁ,Cundinamarca,TERRITORIAL,800215793,1066,7217525897.0
CUNDINAMARCA  INSTITUTO DE DEPORTE Y RECREACIÓN DE GRANADA  IDERGRAN,Cundinamarca,TERRITORIAL,832002434,40,273656077.0
CUNDINAMARCA  INSTITUTO DE DESARROLLO URBANO VIVIENDA Y GESTIÓN TERRITORIAL DE CHÍA IDUVI,Cundinamarca,TERRITORIAL,900806301,394,59733510790.0
CUNDINAMARCA  INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA  ICCU,Bogotá DC,TERRITORIAL,900258711,8371,3388154522345.0
CUNDINAMARCA  INSTITUTO DEL DEPORTE Y LA RECREACIÓN DE CHOCONTA,Cundinamarca,TERRITORIAL,832002423,411,3447913179.0
CUNDINAMARCA  INSTITUTO DEPARTAMENTAL DE ACCIÓN COMUNAL Y PARTICIPACIÓN CIUDADANA DE CUNDINAMARCA,Bogotá DC,TERRITORIAL,900294898,1026,78137731919.0
CUNDINAMARCA  INSTITUTO DEPARTAMENTAL DE CULTURA Y TURISMO DE CUNDINAMARCA,Bogotá DC,TERRITORIAL,900294905,5023,139579321611.0
CUNDINAMARCA  INSTITUTO DEPARTAMENTAL PARA LA RECREACIÓN Y EL DEPORTE DE CUNDINAMARCA,Bogotá DC,TERRITORIAL,900294884,5197,220945489923.0
CUNDINAMARCA  INSTITUTO DEPORTIVO Y RECREATIVO DE FUSAGASUGÁ  IDERF,Cundinamarca,TERRITORIAL,890680338,1116,14721945453.0
CUNDINAMARCA  INSTITUTO DE RECREACIÓN Y DEPORTES DE FÚQUENE  CUNDEPORTES FÚQUENE,Cundinamarca,TERRITORIAL,890802961,1,40000000.0
